"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Oct 21 23:08:38 TRT 2025","Tue Oct 21 23:08:41 TRT 2025","2999","","As an administrator I want to be able to access blogs via API connection.","","When a GET request is sent to the /api/blogs endpoint with invalid token authorization information,","","When a GET request is sent to the /api/blogs endpoint with invalid token authorization information,","    it should be verified that the status code returned is 401 and the message
    information in the response body is “Unauthenticated.”"
"passed","Tue Oct 21 23:08:22 TRT 2025","Tue Oct 21 23:08:23 TRT 2025","469","","US_12 As an administrator, I should be able to access the detailed information","","AC_03> adminToken / invalidId / 203 / ""failed"" / ""No id""","","AC_03> adminToken / invalidId / 203 / ""failed"" / ""No id""","  of the course price plan with the specified id number via the API connection."
"passed","Tue Oct 21 23:10:11 TRT 2025","Tue Oct 21 23:10:11 TRT 2025","339","","US-55 Delete Support","","DEL deleteSupport/{id} Nonexistent US-55 AC-02","","DEL deleteSupport/{id} Nonexistent US-55 AC-02",""
"skipped","Tue Oct 21 21:38:02 TRT 2025","Tue Oct 21 21:38:02 TRT 2025","7","","BACKEND JDBC TESTING","","US06 Count products per coupon","","US06 Count products per coupon",""
"passed","Tue Oct 21 23:05:15 TRT 2025","Tue Oct 21 23:05:21 TRT 2025","6041","","BACKEND JDBC TESTING (Instulearn)","","US_003 product orders + gifts","","US_003 product orders + gifts",""
"passed","Tue Oct 21 23:06:54 TRT 2025","Tue Oct 21 23:07:00 TRT 2025","5422","","BACKEND JDBC TESTING (Instulearn)","","US_020 failed_jobs delete by uuid","","US_020 failed_jobs delete by uuid",""
"broken","Tue Oct 21 20:53:43 TRT 2025","Tue Oct 21 20:53:48 TRT 2025","5254","","BACKEND JDBC TESTING","","US15 First 3 customer_coupon_stores with users","","US15 First 3 customer_coupon_stores with users",""
"passed","Tue Oct 21 23:05:21 TRT 2025","Tue Oct 21 23:05:27 TRT 2025","5420","","BACKEND JDBC TESTING (Instulearn)","","US_004 quizzes question count (limited)","","US_004 quizzes question count (limited)",""
"passed","Tue Oct 21 23:07:27 TRT 2025","Tue Oct 21 23:07:33 TRT 2025","5365","","BACKEND JDBC TESTING (Instulearn)","","US_026 webinars groups by certificate & download","","US_026 webinars groups by certificate & download",""
"broken","Tue Oct 21 20:54:31 TRT 2025","Tue Oct 21 20:54:36 TRT 2025","5276","","BACKEND JDBC TESTING","","US24 Filter orders by email & subtotal, order_number desc","","US24 Filter orders by email & subtotal, order_number desc",""
"passed","Tue Oct 21 23:05:33 TRT 2025","Tue Oct 21 23:05:40 TRT 2025","6751","","BACKEND JDBC TESTING (Instulearn)","","US_006 supports insert two rows at once","","US_006 supports insert two rows at once",""
"broken","Tue Oct 21 18:26:30 TRT 2025","Tue Oct 21 18:26:35 TRT 2025","5369","","BACKEND JDBC TESTING","","US16 List ids with shipping_address='Switzerland' using orders","","US16 List ids with shipping_address='Switzerland' using orders",""
"passed","Tue Oct 21 23:07:17 TRT 2025","Tue Oct 21 23:07:22 TRT 2025","5327","","BACKEND JDBC TESTING (Instulearn)","","US_024 webinars grouped by teacher & category","","US_024 webinars grouped by teacher & category",""
"passed","Tue Oct 21 23:09:54 TRT 2025","Tue Oct 21 23:09:54 TRT 2025","330","","US-54 Update Support","","PATCH updateSupport/{id} Updated ID US-54 AC-05 (negative)","","PATCH updateSupport/{id} Updated ID US-54 AC-05 (negative)",""
"failed","Tue Oct 21 23:08:45 TRT 2025","Tue Oct 21 23:08:45 TRT 2025","447","","As an administrator, I want to be able to create a new blog post via API connection.","","POST body containing valid authorization information and correct data (title, category_id, description, content) is sent to the /api/addBlog endpoint, it must be verified that the returned status code is 200, the remark information in the response body is ""success"",","","POST body containing valid authorization information and correct data (title, category_id, description, content) is sent to the /api/addBlog endpoint, it must be verified that the returned status code is 200, the remark information in the response body is ""success"",","  and the message information is ""Successfully Added."""
"passed","Tue Oct 21 23:05:27 TRT 2025","Tue Oct 21 23:05:33 TRT 2025","6150","","BACKEND JDBC TESTING (Instulearn)","","US_005 quizzes pass_mark=100 and validate ids","","US_005 quizzes pass_mark=100 and validate ids",""
"broken","Tue Oct 21 20:55:08 TRT 2025","Tue Oct 21 20:55:13 TRT 2025","5266","","BACKEND JDBC TESTING","","US31 Review stats for a product; validate min rating < 3","","US31 Review stats for a product; validate min rating < 3",""
"skipped","Tue Oct 21 23:08:47 TRT 2025","Tue Oct 21 23:08:47 TRT 2025","12","","As an administrator, I want to be able to create a new blog post via API connection.","","POST body containing valid authorization information and correct data (title, category_id, description, content) is sent to the /api/addBlog endpoint, it must be verified that the returned status code is 200, the remark information in the response body is ""success"",","","POST body containing valid authorization information and correct data (title, category_id, description, content) is sent to the /api/addBlog endpoint, it must be verified that the returned status code is 200, the remark information in the response body is ""success"",","  and the message information is ""Successfully Added."""
"passed","Tue Oct 21 23:08:21 TRT 2025","Tue Oct 21 23:08:22 TRT 2025","420","","US_12 As an administrator, I should be able to access the detailed information","","AC_01> adminToken / validId / 200 / ""success""","","AC_01> adminToken / validId / 200 / ""success""","  of the course price plan with the specified id number via the API connection."
"skipped","Tue Oct 21 21:38:02 TRT 2025","Tue Oct 21 21:38:02 TRT 2025","8","","BACKEND JDBC TESTING","","US15 First 3 customer_coupon_stores with users","","US15 First 3 customer_coupon_stores with users",""
"skipped","Tue Oct 21 21:38:02 TRT 2025","Tue Oct 21 21:38:02 TRT 2025","7","","BACKEND JDBC TESTING","","US29 Average grand_total of paid orders","","US29 Average grand_total of paid orders",""
"passed","Tue Oct 21 23:08:24 TRT 2025","Tue Oct 21 23:08:25 TRT 2025","367","","US_13 As an administrator I want to be able to create a new course price plan record via API connection.","","AC_02> adminToken / postRequest no data / 422 / ""The title field is required. (and 3 more errors)""","","AC_02> adminToken / postRequest no data / 422 / ""The title field is required. (and 3 more errors)""",""
"passed","Tue Oct 21 17:55:54 TRT 2025","Tue Oct 21 17:56:01 TRT 2025","7228","","BACKEND JDBC TESTING","","US32 Support tickets by department and status","","US32 Support tickets by department and status",""
"skipped","Tue Oct 21 21:38:02 TRT 2025","Tue Oct 21 21:38:02 TRT 2025","7","","BACKEND JDBC TESTING","","US26 Sum by payment_method and filter >7000","","US26 Sum by payment_method and filter >7000",""
"passed","Tue Oct 21 23:08:25 TRT 2025","Tue Oct 21 23:08:25 TRT 2025","396","","US_13 As an administrator I want to be able to create a new course price plan record via API connection.","","AC_03> invalidToken / validId / 401 / ""Unauthenticated.""","","AC_03> invalidToken / validId / 401 / ""Unauthenticated.""",""
"passed","Tue Oct 21 17:19:00 TRT 2025","Tue Oct 21 17:19:06 TRT 2025","6093","","BACKEND JDBC TESTING","","US33 Active in-stock products created in last 30 days","","US33 Active in-stock products created in last 30 days",""
"passed","Tue Oct 21 23:06:14 TRT 2025","Tue Oct 21 23:06:19 TRT 2025","5461","","BACKEND JDBC TESTING (Instulearn)","","US_013 accepted instructors in last 15 days","","US_013 accepted instructors in last 15 days",""
"skipped","Tue Oct 21 21:38:02 TRT 2025","Tue Oct 21 21:38:02 TRT 2025","11","","BACKEND JDBC TESTING","","US16 List ids with shipping_address='Switzerland' using orders","","US16 List ids with shipping_address='Switzerland' using orders",""
"passed","Tue Oct 21 23:07:49 TRT 2025","Tue Oct 21 23:07:55 TRT 2025","5602","","BACKEND JDBC TESTING (Instulearn)","","US_030 highest capacity webinar and teacher name","","US_030 highest capacity webinar and teacher name",""
"passed","Tue Oct 21 23:08:43 TRT 2025","Tue Oct 21 23:08:43 TRT 2025","416","","As an administrator, I should be able to access the detailed information of the blog with the","","When a GET request is sent that does not include (id), it should be verified that","","When a GET request is sent that does not include (id), it should be verified that","  specified id number via the API connection.
the returned status code is 203, the remark information in the response body is ""failed""
and the message information is ""No id""."
"skipped","Tue Oct 21 21:38:02 TRT 2025","Tue Oct 21 21:38:02 TRT 2025","8","","BACKEND JDBC TESTING","","US25 Group by txn_id: max_amount > 9000 sorted","","US25 Group by txn_id: max_amount > 9000 sorted",""
"skipped","Tue Oct 21 20:54:10 TRT 2025","Tue Oct 21 20:54:15 TRT 2025","5197","","BACKEND JDBC TESTING","","US20 Bulk insert 10 device_tokens and verify","","US20 Bulk insert 10 device_tokens and verify",""
"broken","Tue Oct 21 18:26:24 TRT 2025","Tue Oct 21 18:26:30 TRT 2025","5374","","BACKEND JDBC TESTING","","US15 First 3 customer_coupon_stores with users","","US15 First 3 customer_coupon_stores with users",""
"passed","Tue Oct 21 23:06:19 TRT 2025","Tue Oct 21 23:06:25 TRT 2025","5335","","BACKEND JDBC TESTING (Instulearn)","","US_014 verify role constraint on become_instructors","","US_014 verify role constraint on become_instructors",""
"passed","Tue Oct 21 23:07:44 TRT 2025","Tue Oct 21 23:07:49 TRT 2025","5317","","BACKEND JDBC TESTING (Instulearn)","","US_029 count order status occurrences","","US_029 count order status occurrences",""
"skipped","Tue Oct 21 23:08:45 TRT 2025","Tue Oct 21 23:08:45 TRT 2025","13","","As an administrator, I want to be able to create a new blog post via API connection.","","When a POST request is sent to the /api/addBlog endpoint without valid authorization information and data, it should be verified that the status code returned is 422 and the message information in the response body is","","When a POST request is sent to the /api/addBlog endpoint without valid authorization information and data, it should be verified that the status code returned is 422 and the message information in the response body is","  “The title field is required. (and 3 more errors)”"
"passed","Tue Oct 21 23:08:26 TRT 2025","Tue Oct 21 23:08:26 TRT 2025","406","","US_014 As an administrator, I want to be able to update the information","","AC_01> adminToken / creatId / patchRequest / 200 / ""success"" / ""Successfully Updated.""","","AC_01> adminToken / creatId / patchRequest / 200 / ""success"" / ""Successfully Updated.""","  of the course price plan with the specified id number via API connection."
"broken","Tue Oct 21 20:55:03 TRT 2025","Tue Oct 21 20:55:08 TRT 2025","5275","","BACKEND JDBC TESTING","","US30 Total cost of buy-now products before date","","US30 Total cost of buy-now products before date",""
"passed","Tue Oct 21 23:08:26 TRT 2025","Tue Oct 21 23:08:27 TRT 2025","374","","US_014 As an administrator, I want to be able to update the information","","AC_03> adminToken / invalidId / patchRequest / 203 / ""failed"" / ""There is not ticket for this id.""","","AC_03> adminToken / invalidId / patchRequest / 203 / ""failed"" / ""There is not ticket for this id.""","  of the course price plan with the specified id number via API connection."
"broken","Tue Oct 21 20:55:13 TRT 2025","Tue Oct 21 20:55:18 TRT 2025","5186","","BACKEND JDBC TESTING","","US32 Support tickets by department and status","","US32 Support tickets by department and status",""
"skipped","Tue Oct 21 21:38:02 TRT 2025","Tue Oct 21 21:38:02 TRT 2025","8","","BACKEND JDBC TESTING","","US11 Sum amount for Referral in id range","","US11 Sum amount for Referral in id range",""
"failed","Tue Oct 21 23:08:43 TRT 2025","Tue Oct 21 23:08:45 TRT 2025","1449","","As an administrator, I should be able to access the detailed information of the blog with the","","When a GET request is sent to the /api/blog/{id} endpoint with invalid token authorization information and correct data (id), it should be verified that the status","","When a GET request is sent to the /api/blog/{id} endpoint with invalid token authorization information and correct data (id), it should be verified that the status","  specified id number via the API connection.
  code returned is 401 and the message in the response body is “Unauthenticated.”."
"broken","Tue Oct 21 23:08:47 TRT 2025","Tue Oct 21 23:08:47 TRT 2025","40","","As an administrator, I want to be able to update the information","","Verify that the blog is successfully updated with valid PATCH request","","Verify that the blog is successfully updated with valid PATCH request","  of the blog with the specified id number via the API connection."
"passed","Tue Oct 21 23:08:35 TRT 2025","Tue Oct 21 23:08:36 TRT 2025","1136","","As an administrator I want to be able to access blogs via API connection.","","When a GET request is sent to the /api/blogs endpoint with valid authorization information, it should be verified that","","When a GET request is sent to the /api/blogs endpoint with valid authorization information, it should be verified that","      the status code returned is 200 and the remark in the response body is “success”."
"passed","Tue Oct 21 23:05:01 TRT 2025","Tue Oct 21 23:05:10 TRT 2025","8350","","BACKEND JDBC TESTING (Instulearn)","","US_001 meeting minutes by email","","US_001 meeting minutes by email",""
"passed","Tue Oct 21 23:08:26 TRT 2025","Tue Oct 21 23:08:26 TRT 2025","390","","US_014 As an administrator, I want to be able to update the information","","AC_02> adminToken / creatId / patchRequest no data / 203 / ""failed"" / ""There is no information to update.""","","AC_02> adminToken / creatId / patchRequest no data / 203 / ""failed"" / ""There is no information to update.""","  of the course price plan with the specified id number via API connection."
"passed","Tue Oct 21 23:05:56 TRT 2025","Tue Oct 21 23:06:02 TRT 2025","5756","","BACKEND JDBC TESTING (Instulearn)","","US_010 users_zoom_api insert+update verify","","US_010 users_zoom_api insert+update verify",""
"broken","Tue Oct 21 18:27:29 TRT 2025","Tue Oct 21 18:27:35 TRT 2025","5365","","BACKEND JDBC TESTING","","US27 Unique descriptions for two payment methods","","US27 Unique descriptions for two payment methods",""
"passed","Tue Oct 21 17:18:47 TRT 2025","Tue Oct 21 17:18:53 TRT 2025","6217","","BACKEND JDBC TESTING","","US31 Review stats for a product; validate min rating < 3","","US31 Review stats for a product; validate min rating < 3",""
"broken","Tue Oct 21 20:54:52 TRT 2025","Tue Oct 21 20:54:57 TRT 2025","5284","","BACKEND JDBC TESTING","","US28 Unique user_ids by reference_no pattern","","US28 Unique user_ids by reference_no pattern",""
"broken","Tue Oct 21 18:26:41 TRT 2025","Tue Oct 21 18:26:46 TRT 2025","5393","","BACKEND JDBC TESTING","","US18 Bulk insert 5 bank_accounts and verify","","US18 Bulk insert 5 bank_accounts and verify",""
"skipped","Tue Oct 21 21:38:02 TRT 2025","Tue Oct 21 21:38:02 TRT 2025","10","","BACKEND JDBC TESTING","","US14 Check NULL reason exists in refund_reasons","","US14 Check NULL reason exists in refund_reasons",""
"skipped","Tue Oct 21 21:38:02 TRT 2025","Tue Oct 21 21:38:02 TRT 2025","6","","BACKEND JDBC TESTING","","US30 Total cost of buy-now products before date","","US30 Total cost of buy-now products before date",""
"broken","Tue Oct 21 20:55:18 TRT 2025","Tue Oct 21 20:55:24 TRT 2025","5195","","BACKEND JDBC TESTING","","US33 Active in-stock products created in last 30 days","","US33 Active in-stock products created in last 30 days",""
"passed","Tue Oct 21 23:07:05 TRT 2025","Tue Oct 21 23:07:11 TRT 2025","6242","","BACKEND JDBC TESTING (Instulearn)","","US_022 users grouped by approvals & signup bonus","","US_022 users grouped by approvals & signup bonus",""
"passed","Tue Oct 21 23:06:02 TRT 2025","Tue Oct 21 23:06:08 TRT 2025","6932","","BACKEND JDBC TESTING (Instulearn)","","US_011 verifications insert then delete","","US_011 verifications insert then delete",""
"passed","Tue Oct 21 23:08:43 TRT 2025","Tue Oct 21 23:08:43 TRT 2025","445","","As an administrator, I should be able to access the detailed information of the blog with the","","It should be verified that when a GET request containing an id without valid authorization","","It should be verified that when a GET request containing an id without valid authorization","  specified id number via the API connection.
    information and a record is sent to the /api/blog/{id} endpoint, the returned status code is 203,
    the remark in the response body is ""failed"", and the message is ""There is not blog for this id."";
    when a GET request without an id is sent, the returned status code is 203,
    the remark in the response body is ""failed"", and the message is ""No id""."
"passed","Tue Oct 21 23:10:11 TRT 2025","Tue Oct 21 23:10:11 TRT 2025","334","","US-55 Delete Support","","DEL deleteSupport/{id} equals Path ID US-55 AC-03 (negative)","","DEL deleteSupport/{id} equals Path ID US-55 AC-03 (negative)",""
"passed","Tue Oct 21 23:08:47 TRT 2025","Tue Oct 21 23:08:48 TRT 2025","1016","","US-51 Supports List & Field Validation","","GET supports US-51 AC-01","","GET supports US-51 AC-01",""
"passed","Tue Oct 21 23:07:11 TRT 2025","Tue Oct 21 23:07:17 TRT 2025","5295","","BACKEND JDBC TESTING (Instulearn)","","US_023 users grouped by language & currency","","US_023 users grouped by language & currency",""
"passed","Tue Oct 21 23:05:10 TRT 2025","Tue Oct 21 23:05:15 TRT 2025","5358","","BACKEND JDBC TESTING (Instulearn)","","US_002 meeting status counts & ratios","","US_002 meeting status counts & ratios",""
"skipped","Tue Oct 21 18:47:02 TRT 2025","Tue Oct 21 18:47:07 TRT 2025","5178","","BACKEND JDBC TESTING","","US08 Verify first 5 names in reverse order","","US08 Verify first 5 names in reverse order",""
